No.	Date	Start	Runtime	File	EPG	Movie	Actress	
1.	8/13/2013	11:00	01:06:04	Venus-0143	Venus CXLIII	哥哥對不起！我超敏感的！！(上)	紗奈		
2.	8/13/2013	12:05	00:58:04	Venus-0223	Venus CCXXIII	索求無度！濕淫少女？(上)	實綱玲		
3.	8/13/2013	13:05	00:48:42	Venus-0037	Venus XXXVII	純情小白兔 櫻理江（上）	櫻理江		
4.	8/13/2013	13:55	00:51:20	Venus-0270	Venus CCLXX	神淫少女南國開苞日記(下)	葵司		
5.	8/13/2013	14:45	00:53:48	Venus-0255	Venus CCLV	美臀的誘惑(上)	織田真子		
6.	8/13/2013	15:40	01:02:52	Venus-0371	Venus CCCLXXI	顏射美雪艾莉絲	美雪艾莉絲		
7.	8/13/2013	16:40	01:02:37	Venus-0370	Venus CCCLXX	搓揉爆乳色情澡堂	奧田咲		
8.	8/13/2013	17:40	00:52:53	Venus-0034	Venus XXXIV	挑逗瀧澤光(上)	瀧澤光		
9.	8/13/2013	18:30	01:01:24	Venus-0100	Venus C	手忙腳亂大作愛	松浦祐美		
10.	8/13/2013	19:30	00:56:25	Venus-0366	Venus CCCLXVI	測試！女人一直高潮會怎樣？	愛澄玲花		
11.	8/13/2013	20:25	00:46:08	Venus-0328	Venus CCCXXVIII	越掃除越硬骨的肉棒(下)	葵司		Total Runtime	10:20:17 (11)	
.	8/13/2013	21:10	01:06:04	Venus-0143	Venus CXLIII	哥哥對不起！我超敏感的！！(上)	紗奈		
.	8/13/2013	22:15	00:58:04	Venus-0223	Venus CCXXIII	索求無度！濕淫少女？(上)	實綱玲		
.	8/13/2013	23:15	00:48:42	Venus-0037	Venus XXXVII	純情小白兔 櫻理江（上）	櫻理江		
.	8/14/2013	00:05	00:51:20	Venus-0270	Venus CCLXX	神淫少女南國開苞日記(下)	葵司		
.	8/14/2013	00:55	00:53:48	Venus-0255	Venus CCLV	美臀的誘惑(上)	織田真子		
.	8/14/2013	01:50	01:02:52	Venus-0371	Venus CCCLXXI	顏射美雪艾莉絲	美雪艾莉絲		
.	8/14/2013	02:50	01:02:37	Venus-0370	Venus CCCLXX	搓揉爆乳色情澡堂	奧田咲		
.	8/14/2013	03:50	00:52:53	Venus-0034	Venus XXXIV	挑逗瀧澤光(上)	瀧澤光		
.	8/14/2013	04:40	01:01:24	Venus-0100	Venus C	手忙腳亂大作愛	松浦祐美		
.	8/14/2013	05:40	00:56:25	Venus-0366	Venus CCCLXVI	測試！女人一直高潮會怎樣？	愛澄玲花		
.	8/14/2013	06:35	00:46:08	Venus-0328	Venus CCCXXVIII	越掃除越硬骨的肉棒(下)	葵司		
.	8/14/2013	07:20	00:00:00	Venus-0000	休息一下	每天播放時間: 11AM-7AM	Break		
.	8/14/2013	09:00	00:00:00	Venus-0000	休息一下	每天播放時間: 11AM-7AM	Break		
1.	8/14/2013	11:00	01:07:10	Venus-0174	Venus CLXXIV	性慾非凡無底口交(下)	朝日奈明		
2.	8/14/2013	12:05	00:44:29	Venus-0064	Venus LXIV	上床學英語(下)	麻美由真		
3.	8/14/2013	12:50	01:06:34	Venus-0411	Venus CDXI	粉紅乳暈軟Q巨乳	奥田咲		
4.	8/14/2013	13:55	01:00:01	Venus-0278	Venus CCLXXVIII	淫女時代(下)	優希麻琴		
5.	8/14/2013	14:55	01:13:03	Venus-0103	Venus CIII	新手狂亂３Ｐ（上）	朝日奈明		
6.	8/14/2013	16:10	00:58:50	Venus-0106	Venus CVI	櫻川桃美的巨根品嚐會(下)	櫻川桃美		
7.	8/14/2013	17:10	00:59:18	Venus-0209	Venus CCIX	百人作愛觀禮實戰秀(上)	芹澤戀		
8.	8/14/2013	18:10	00:58:55	Venus-0418	Venus CDXVIII	清槍連發溫泉之旅(下)	朝日奈明		
9.	8/14/2013	19:10	00:48:56	Venus-0230	Venus CCXXX	J巨乳的淫慾潮吹(下)	芹澤由衣		
10.	8/14/2013	20:00	01:06:42	Venus-0117	Venus CXVII	童貞A計畫 辰巳唯(上)	辰巳唯		Total Runtime	10:03:58 (10)	
.	8/14/2013	21:05	01:07:10	Venus-0174	Venus CLXXIV	性慾非凡無底口交(下)	朝日奈明		
.	8/14/2013	22:10	00:44:29	Venus-0064	Venus LXIV	上床學英語(下)	麻美由真		
.	8/14/2013	22:55	01:06:34	Venus-0411	Venus CDXI	粉紅乳暈軟Q巨乳	奥田咲		
.	8/15/2013	00:00	01:00:01	Venus-0278	Venus CCLXXVIII	淫女時代(下)	優希麻琴		
.	8/15/2013	01:00	01:13:03	Venus-0103	Venus CIII	新手狂亂３Ｐ（上）	朝日奈明		
.	8/15/2013	02:15	00:58:50	Venus-0106	Venus CVI	櫻川桃美的巨根品嚐會(下)	櫻川桃美		
.	8/15/2013	03:15	00:59:18	Venus-0209	Venus CCIX	百人作愛觀禮實戰秀(上)	芹澤戀		
.	8/15/2013	04:15	00:58:55	Venus-0418	Venus CDXVIII	清槍連發溫泉之旅(下)	朝日奈明		
.	8/15/2013	05:15	00:48:56	Venus-0230	Venus CCXXX	J巨乳的淫慾潮吹(下)	芹澤由衣		
.	8/15/2013	06:05	01:06:42	Venus-0117	Venus CXVII	童貞A計畫 辰巳唯(上)	辰巳唯		
.	8/15/2013	07:10	00:00:00	Venus-0000	休息一下	每天播放時間: 11AM-7AM	Break		
.	8/15/2013	09:00	00:00:00	Venus-0000	休息一下	每天播放時間: 11AM-7AM	Break		
1.	8/15/2013	11:00	01:00:40	Venus-0331	Venus CCCXXXI	遵命!我的主人!	平井七菜子		
2.	8/15/2013	12:00	01:06:41	Venus-0425	Venus CDXXV	對繪色千佳一桿進洞(上)	繪色千佳		
3.	8/15/2013	13:05	01:01:36	Venus-0413	Venus CDXIII	一插即破危險套	友田彩也香		
4.	8/15/2013	14:05	00:52:23	Venus-0205	Venus CCV	精溢女神醫(上)	織田真子		
5.	8/15/2013	14:55	01:07:52	Venus-0257	Venus CCLVII	溫泉誘惑交尾(上)	辰巳唯		
6.	8/15/2013	16:00	00:59:11	Venus-0277	Venus CCLXXVII	淫女時代(上)	優希麻琴		
